Has the course achieved its stated objectives?  ,General Objectives
Have you gained the stated skills?,General Objectives
Whether the teaching – learning process has helped in acquiring the stated skills?,General Objectives
Whether the teacher has helped to get exposure to real time applications of the course?,General Objectives
Can you solve simple engineering problems by using concept of probability distributions,General Objectives
Whether the syllabus is adequate to achieve the objectives?,General Objectives
Can you solve simple engineering problems by using concept of probability distributions,PROBABILITY AND STATISTICS
Will you be able to analyse different differential equations and  to use  special  functions for solving them  ,PROBABILITY AND STATISTICS
Can you differentiate the concept of hypothesis of testing  to solve simple engineering problems.  ,PROBABILITY AND STATISTICS
Can you distinguish the models of queuing system and apply it to solve simple engineering problems,PROBABILITY AND STATISTICS
Can you solve  simple engineering problems  using  the concept of Markov Chains and Markov process.,PROBABILITY AND STATISTICS
Do you understand how to  define  mathematical logic and apply it to test the validity of the arguments     ,MATHEMATICAL FOUNDATION S OF COMPUTERSCIENCE
Can you : Memorize the concepts of functions; relations; and apply it in solving the problems.,MATHEMATICAL FOUNDATION S OF COMPUTERSCIENCE
Are you able to recognize suitable principles of counting  to solve problems of elementary combinatorics,MATHEMATICAL FOUNDATION S OF COMPUTERSCIENCE
solve recurrence relation problems  by different methods   ,MATHEMATICAL FOUNDATION S OF COMPUTERSCIENCE
Transform the Matrix into graphs and use it in solving problems,MATHEMATICAL FOUNDATION S OF COMPUTERSCIENCE
Do you  explain the abstract properties of various data structures such as stacks; queues; lists; trees and graphs,DATA STRUCTURES THROUGH C
Can you describe the basic data structures such as arrays; linked lists; stacks and queues,DATA STRUCTURES THROUGH C
Can you apply Algorithms for solving problems like sorting; searching; insertion and deletion of data.,DATA STRUCTURES THROUGH C
Explain  data structure concepts for realistic problems,DATA STRUCTURES THROUGH C
Can you analyse performance of algorithms,DATA STRUCTURES THROUGH C
Can you identify problems independently and think critically,DATA STRUCTURES THROUGH C
Can you solve binary addition and subtraction 2’s complement representation and operations with this representation,DIGITAL LOGIC DESIGN AND COMPUTERORGANIZATION
Evaluate Boolean algebra; Karnaugh map.Explain Tabulation Method and be able to  bi-stable elements and different types of latches; flip-flops.,DIGITAL LOGIC DESIGN AND COMPUTERORGANIZATION
Can you design procedures of Combinational and Sequential logic circuits;  memory organizations; PAL.and be able to distinguish theComputer Arithmetic and different types of operations; ,DIGITAL LOGIC DESIGN AND COMPUTERORGANIZATION
Distinguish Instruction formats classification based on number of operands; size of instruction; and way of accessing the data.,DIGITAL LOGIC DESIGN AND COMPUTERORGANIZATION
Can you differentiate I/O mapped I/O and memory mapped I/O; Explain the communication between I/O devices &IOP and Processor.,DIGITAL LOGIC DESIGN AND COMPUTERORGANIZATION
Can you memorize the knowledge in the field of semiconductor materials and structures,ELECTRONIC DEVICES AND CIRCUITS
Can you explain the properties and characteristics of basic two terminal devices,ELECTRONIC DEVICES AND CIRCUITS
Can you  demonstrate the currents and other parameters for three terminal devices  ,ELECTRONIC DEVICES AND CIRCUITS
Do you able to Compare different types of transistors,ELECTRONIC DEVICES AND CIRCUITS
Can you able to explain and design his/her own electronic device,ELECTRONIC DEVICES AND CIRCUITS
Can you develop circuit models for elementary electronic components,BASIC ELECTRICAL ENGINEERING 
Do you use various methods of circuit analysis; including simplified methods such as series-parallel reductions; voltage and current dividers; and the node method,BASIC ELECTRICAL ENGINEERING 
Do you understand the  principle of superposition and Thevenin Norton equivalent circuits?,BASIC ELECTRICAL ENGINEERING 
Can you identify the type of electrical machine used for that particular application,BASIC ELECTRICAL ENGINEERING 
Do you understand   to identify the type of electrical machine used for that particular application,BASIC ELECTRICAL ENGINEERING 